"Appendix B. Developmental Education Coursetaking** by District, School and Year of High School Graduation",,,,,,,,The data used for Getting Prepared analyzed college enrollment data for high school students based on the student’s “Status End” code at a given point in time and is not comparable to graduation rate cohort data commonly used by the Minnesota Department of Education (MDE).,,,
,,,,,Enrolled within 2 Years of Graduation,,,Enrolled in Developmental Education within 2 Years,,,
Rosemount-Apple Valley-Eagan,EAGAN SENIOR HIGH,0196-01-041,2011,462,435,253,,41,9%,16%,
Rosemount-Apple Valley-Eagan,EAGAN SENIOR HIGH,0196-01-041,2012,513,475,297,,43,8%,14%,
Rosemount-Apple Valley-Eagan,EASTVIEW SENIOR HIGH,0196-01-088,2006,517,166,114,,28,5%,25%,
Rosemount-Apple Valley-Eagan,EASTVIEW SENIOR HIGH,0196-01-088,2007,487,448,270,,62,13%,23%,
Rosemount-Apple Valley-Eagan,EASTVIEW SENIOR HIGH,0196-01-088,2008,546,508,318,,60,11%,19%,
Rosemount-Apple Valley-Eagan,EASTVIEW SENIOR HIGH,0196-01-088,2009,519,483,295,,62,12%,21%,
Rosemount-Apple Valley-Eagan,EASTVIEW SENIOR HIGH,0196-01-088,2010,433,406,236,,41,9%,17%,
Rosemount-Apple Valley-Eagan,EASTVIEW SENIOR HIGH,0196-01-088,2011,475,438,286,,65,14%,23%,
Rosemount-Apple Valley-Eagan,EASTVIEW SENIOR HIGH,0196-01-088,2012,459,415,246,,40,9%,16%,
Rosemount-Apple Valley-Eagan,RAHNCLIFF ABE DIPLOMA PROGRAM,0196-01-034,2006,37,13,13,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,RAHNCLIFF ABE DIPLOMA PROGRAM,0196-01-034,2007,51,17,17,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,RAHNCLIFF ABE DIPLOMA PROGRAM,0196-01-034,2008,75,34,34,,14,19%,41%,
Rosemount-Apple Valley-Eagan,RAHNCLIFF ABE DIPLOMA PROGRAM,0196-01-034,2009,58,21,21,,10,17%,48%,
Rosemount-Apple Valley-Eagan,RAHNCLIFF ABE DIPLOMA PROGRAM,0196-01-034,2010,52,18,18,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,RAHNCLIFF ABE DIPLOMA PROGRAM,0196-01-034,2011,67,34,34,,10,15%,29%,
Rosemount-Apple Valley-Eagan,RAHNCLIFF ABE DIPLOMA PROGRAM,0196-01-034,2012,42,13,13,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,ROSEMOUNT AREA LEARNING CENTER,0196-01-058,2006,61,15,13,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,ROSEMOUNT AREA LEARNING CENTER,0196-01-058,2007,82,33,24,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,ROSEMOUNT AREA LEARNING CENTER,0196-01-058,2008,92,51,38,,14,15%,37%,
Rosemount-Apple Valley-Eagan,ROSEMOUNT AREA LEARNING CENTER,0196-01-058,2009,121,65,54,,28,23%,52%,
Rosemount-Apple Valley-Eagan,ROSEMOUNT AREA LEARNING CENTER,0196-01-058,2010,82,30,22,,12,15%,55%,
Rosemount-Apple Valley-Eagan,ROSEMOUNT AREA LEARNING CENTER,0196-01-058,2011,86,41,36,,15,17%,42%,
Rosemount-Apple Valley-Eagan,ROSEMOUNT AREA LEARNING CENTER,0196-01-058,2012,84,35,26,,11,13%,42%,
Rosemount-Apple Valley-Eagan,ROSEMOUNT SENIOR HIGH,0196-01-038,2006,433,170,114,,32,7%,28%,
Rosemount-Apple Valley-Eagan,ROSEMOUNT SENIOR HIGH,0196-01-038,2007,377,328,217,,58,15%,27%,
Rosemount-Apple Valley-Eagan,ROSEMOUNT SENIOR HIGH,0196-01-038,2008,446,392,258,,77,17%,30%,
Rosemount-Apple Valley-Eagan,ROSEMOUNT SENIOR HIGH,0196-01-038,2009,405,365,255,,64,16%,25%,
Rosemount-Apple Valley-Eagan,ROSEMOUNT SENIOR HIGH,0196-01-038,2010,391,349,227,,52,13%,23%,
Rosemount-Apple Valley-Eagan,ROSEMOUNT SENIOR HIGH,0196-01-038,2011,418,362,215,,54,13%,25%,
Rosemount-Apple Valley-Eagan,ROSEMOUNT SENIOR HIGH,0196-01-038,2012,462,395,251,,45,10%,18%,
Rosemount-Apple Valley-Eagan,SCHOOL OF ENVIRONMENTAL STUDIES,0196-01-060,2010,169,152,103,,31,18%,30%,
Rosemount-Apple Valley-Eagan,SCHOOL OF ENVIRONMENTAL STUDIES,0196-01-060,2011,147,129,76,,20,14%,26%,
Rosemount-Apple Valley-Eagan,SCHOOL OF ENVIRONMENTAL STUDIES,0196-01-060,2012,152,134,82,,21,14%,26%,
Rosemount-Apple Valley-Eagan,TRANSITION PLUS,0196-01-024,2006,37,fewer than 10,fewer than 10,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,TRANSITION PLUS,0196-01-024,2007,33,fewer than 10,fewer than 10,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,TRANSITION PLUS,0196-01-024,2008,40,fewer than 10,fewer than 10,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,TRANSITION PLUS,0196-01-024,2009,35,fewer than 10,fewer than 10,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,TRANSITION PLUS,0196-01-024,2010,55,11,fewer than 10,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,TRANSITION PLUS,0196-01-024,2011,42,fewer than 10,fewer than 10,,fewer than 10,,,
Rosemount-Apple Valley-Eagan,TRANSITION PLUS,0196-01-024,2012,55,fewer than 10,fewer than 10,,fewer than 10,,,
Roseville Public School District,FAIRVIEW ALTERNATIVE HIGH SCHOOL,0623-01-615,2008,16,fewer than 10,fewer than 10,,fewer than 10,,,
Roseville Public School District,FAIRVIEW ALTERNATIVE HIGH SCHOOL,0623-01-615,2009,13,fewer than 10,fewer than 10,,fewer than 10,,,
Roseville Public School District,FAIRVIEW ALTERNATIVE HIGH SCHOOL,0623-01-615,2010,31,11,fewer than 10,,fewer than 10,,,
Roseville Public School District,FAIRVIEW ALTERNATIVE HIGH SCHOOL,0623-01-615,2011,23,fewer than 10,fewer than 10,,fewer than 10,,,
Roseville Public School District,FAIRVIEW ALTERNATIVE HIGH SCHOOL,0623-01-615,2012,27,11,10,,fewer than 10,,,
Roseville Public School District,ROSEVILLE AREA SENIOR HIGH,0623-01-069,2006,459,375,274,,73,16%,27%,
Roseville Public School District,ROSEVILLE AREA SENIOR HIGH,0623-01-069,2007,521,446,321,,94,18%,29%,
Roseville Public School District,ROSEVILLE AREA SENIOR HIGH,0623-01-069,2008,437,380,257,,87,20%,34%,
Roseville Public School District,ROSEVILLE AREA SENIOR HIGH,0623-01-069,2009,486,426,309,,90,19%,29%,
Roseville Public School District,ROSEVILLE AREA SENIOR HIGH,0623-01-069,2010,446,399,287,,69,15%,24%,
Roseville Public School District,ROSEVILLE AREA SENIOR HIGH,0623-01-069,2011,511,437,313,,77,15%,25%,
Roseville Public School District,ROSEVILLE AREA SENIOR HIGH,0623-01-069,2012,415,356,241,,48,12%,20%,
Rothsay Public School District,ROTHSAY SECONDARY,0850-01-020,2006,16,11,fewer than 10,,fewer than 10,,,
Rothsay Public School District,ROTHSAY SECONDARY,0850-01-020,2007,19,14,12,,fewer than 10,,,
Rothsay Public School District,ROTHSAY SECONDARY,0850-01-020,2008,12,fewer than 10,fewer than 10,,fewer than 10,,,
Rothsay Public School District,ROTHSAY SECONDARY,0850-01-020,2009,15,11,fewer than 10,,fewer than 10,,,
Rothsay Public School District,ROTHSAY SECONDARY,0850-01-020,2010,14,12,fewer than 10,,fewer than 10,,,
Rothsay Public School District,ROTHSAY SECONDARY,0850-01-020,2011,14,fewer than 10,fewer than 10,,fewer than 10,,,
Rothsay Public School District,ROTHSAY SECONDARY,0850-01-020,2012,14,fewer than 10,fewer than 10,,fewer than 10,,,
Round Lake-Brewster Public Schools,ROUND LAKE SECONDARY,0516-01-020,2006,33,24,20,,fewer than 10,,,
Round Lake-Brewster Public Schools,ROUND LAKE SECONDARY,0516-01-020,2007,26,16,12,,fewer than 10,,,
Round Lake-Brewster Public Schools,ROUND LAKE SECONDARY,0516-01-020,2008,25,15,fewer than 10,,fewer than 10,,,
Round Lake-Brewster Public Schools,ROUND LAKE SECONDARY,0516-01-020,2009,20,18,14,,fewer than 10,,,
Round Lake-Brewster Public Schools,ROUND LAKE SECONDARY,0516-01-020,2010,15,11,fewer than 10,,fewer than 10,,,
Round Lake-Brewster Public Schools,ROUND LAKE SECONDARY,0516-01-020,2011,22,11,fewer than 10,,fewer than 10,,,
Round Lake-Brewster Public Schools,ROUND LAKE SECONDARY,0516-01-020,2012,18,12,fewer than 10,,fewer than 10,,,
Royalton Public School District,ROYALTON HIGH SCHOOL,0485-01-020,2006,63,40,35,,13,21%,37%,
Royalton Public School District,ROYALTON HIGH SCHOOL,0485-01-020,2007,55,41,39,,12,22%,31%,
Royalton Public School District,ROYALTON HIGH SCHOOL,0485-01-020,2008,41,25,23,,fewer than 10,,,
Royalton Public School District,ROYALTON HIGH SCHOOL,0485-01-020,2009,53,40,36,,10,19%,28%,
Royalton Public School District,ROYALTON HIGH SCHOOL,0485-01-020,2010,36,31,28,,fewer than 10,,,
Royalton Public School District,ROYALTON HIGH SCHOOL,0485-01-020,2011,54,37,33,,11,20%,33%,
Royalton Public School District,ROYALTON HIGH SCHOOL,0485-01-020,2012,56,45,40,,fewer than 10,,,
RTR Public Schools,R.T.R. SENIOR HIGH,0409-01-020,2006,57,51,26,,fewer than 10,,,
RTR Public Schools,RTR HIGH SCHOOL,2902-01-300,2007,45,40,30,,fewer than 10,,,
RTR Public Schools,RTR HIGH SCHOOL,2902-01-300,2008,37,31,11,,fewer than 10,,,
RTR Public Schools,RTR HIGH SCHOOL,2902-01-300,2009,42,36,23,,fewer than 10,,,
RTR Public Schools,RTR HIGH SCHOOL,2902-01-300,2010,50,44,27,,fewer than 10,,,
RTR Public Schools,RTR HIGH SCHOOL,2902-01-300,2011,40,38,16,,fewer than 10,,,
RTR Public Schools,RTR HIGH SCHOOL,2902-01-300,2012,34,24,fewer than 10,,fewer than 10,,,
Runestone Area Ed. District,RUNESTONE REGIONAL LEARNING CENTER,6014-61-020,2006,25,fewer than 10,fewer than 10,,fewer than 10,,,
Runestone Area Ed. District,RUNESTONE REGIONAL LEARNING CENTER,6014-61-020,2007,30,10,10,,fewer than 10,,,
Runestone Area Ed. District,RUNESTONE REGIONAL LEARNING CENTER,6014-61-020,2008,24,fewer than 10,fewer than 10,,fewer than 10,,,
Runestone Area Ed. District,RUNESTONE REGIONAL LEARNING CENTER,6014-61-020,2009,19,fewer than 10,fewer than 10,,fewer than 10,,,
Runestone Area Ed. District,RUNESTONE REGIONAL LEARNING CENTER,6014-61-020,2010,20,fewer than 10,fewer than 10,,fewer than 10,,,
Runestone Area Ed. District,RUNESTONE REGIONAL LEARNING CENTER,6014-61-020,2011,15,fewer than 10,fewer than 10,,fewer than 10,,,
Runestone Area Ed. District,RUNESTONE REGIONAL LEARNING CENTER,6014-61-020,2012,22,fewer than 10,fewer than 10,,fewer than 10,,,
Rush City Public School District,RUSH CITY SECONDARY,0139-01-020,2006,73,48,41,,13,18%,32%,
Rush City Public School District,RUSH CITY SECONDARY,0139-01-020,2007,74,50,42,,24,32%,57%,
Rush City Public School District,RUSH CITY SECONDARY,0139-01-020,2008,66,50,39,,14,21%,36%,
Rush City Public School District,RUSH CITY SECONDARY,0139-01-020,2009,73,51,37,,11,15%,30%,
Rush City Public School District,RUSH CITY SECONDARY,0139-01-020,2010,66,53,42,,15,23%,36%,
Rush City Public School District,RUSH CITY SECONDARY,0139-01-020,2011,60,51,40,,fewer than 10,,,
Rush City Public School District,RUSH CITY SECONDARY,0139-01-020,2012,69,42,33,,fewer than 10,,,
Rushford-Peterson Public Schools,RUSHFORD-PETERSON SENIOR HIGH,0239-01-002,2006,51,39,28,,12,24%,43%,
Rushford-Peterson Public Schools,RUSHFORD-PETERSON SENIOR HIGH,0239-01-002,2007,59,43,29,,fewer than 10,,,
Rushford-Peterson Public Schools,RUSHFORD-PETERSON SENIOR HIGH,0239-01-002,2008,54,44,35,,12,22%,34%,
Rushford-Peterson Public Schools,RUSHFORD-PETERSON SENIOR HIGH,0239-01-002,2009,51,39,25,,fewer than 10,,,
Rushford-Peterson Public Schools,RUSHFORD-PETERSON SENIOR HIGH,0239-01-002,2010,59,52,35,,17,29%,49%,
Rushford-Peterson Public Schools,RUSHFORD-PETERSON SENIOR HIGH,0239-01-002,2011,33,26,15,,fewer than 10,,,
Rushford-Peterson Public Schools,RUSHFORD-PETERSON SENIOR HIGH,0239-01-002,2012,45,28,15,,fewer than 10,,,
Sartell-St. Stephen School District,SARTELL SENIOR HIGH,0748-01-020,2006,185,153,123,,18,10%,15%,
Sartell-St. Stephen School District,SARTELL SENIOR HIGH,0748-01-020,2007,207,177,139,,23,11%,17%,
Sartell-St. Stephen School District,SARTELL SENIOR HIGH,0748-01-020,2008,206,176,131,,29,14%,22%,
Sartell-St. Stephen School District,SARTELL SENIOR HIGH,0748-01-020,2009,196,176,129,,19,10%,15%,
Sartell-St. Stephen School District,SARTELL SENIOR HIGH,0748-01-020,2010,240,206,152,,17,7%,11%,
Sartell-St. Stephen School District,SARTELL SENIOR HIGH,0748-01-020,2011,227,193,145,,18,8%,12%,
Sartell-St. Stephen School District,SARTELL SENIOR HIGH,0748-01-020,2012,237,206,150,,14,6%,9%,
Sauk Centre Public School District,SAUK CENTRE SECONDARY,0743-01-030,2006,89,74,66,,10,11%,15%,
Sauk Centre Public School District,SAUK CENTRE SECONDARY,0743-01-030,2007,105,81,63,,fewer than 10,,,
Sauk Centre Public School District,SAUK CENTRE SECONDARY,0743-01-030,2008,96,78,61,,fewer than 10,,,
Sauk Centre Public School District,SAUK CENTRE SECONDARY,0743-01-030,2009,105,88,67,,13,12%,19%,
Sauk Centre Public School District,SAUK CENTRE SECONDARY,0743-01-030,2010,96,83,64,,10,10%,16%,
Sauk Centre Public School District,SAUK CENTRE SECONDARY,0743-01-030,2011,95,75,61,,11,12%,18%,
Sauk Centre Public School District,SAUK CENTRE SECONDARY,0743-01-030,2012,91,70,60,,10,11%,17%,
Sauk Rapids-Rice Public Schools,SAUK RAPIDS-RICE SENIOR HIGH,0047-01-001,2006,272,215,181,,36,13%,20%,
Sauk Rapids-Rice Public Schools,SAUK RAPIDS-RICE SENIOR HIGH,0047-01-001,2007,262,216,191,,52,20%,27%,
Sauk Rapids-Rice Public Schools,SAUK RAPIDS-RICE SENIOR HIGH,0047-01-001,2008,243,201,165,,48,20%,29%,
Sauk Rapids-Rice Public Schools,SAUK RAPIDS-RICE SENIOR HIGH,0047-01-001,2009,273,219,188,,48,18%,26%,
Sauk Rapids-Rice Public Schools,SAUK RAPIDS-RICE SENIOR HIGH,0047-01-001,2010,233,199,170,,53,23%,31%,
Sauk Rapids-Rice Public Schools,SAUK RAPIDS-RICE SENIOR HIGH,0047-01-001,2011,251,203,159,,43,17%,27%,
Sauk Rapids-Rice Public Schools,SAUK RAPIDS-RICE SENIOR HIGH,0047-01-001,2012,265,211,181,,33,12%,18%,
Sebeka Public School District,SEBEKA SECONDARY,0820-01-002,2006,46,30,27,,fewer than 10,,,
Sebeka Public School District,SEBEKA SECONDARY,0820-01-002,2007,44,30,22,,fewer than 10,,,
Sebeka Public School District,SEBEKA SECONDARY,0820-01-002,2008,39,27,21,,fewer than 10,,,
Sebeka Public School District,SEBEKA SECONDARY,0820-01-002,2009,39,27,23,,fewer than 10,,,
Sebeka Public School District,SEBEKA SECONDARY,0820-01-002,2010,42,34,27,,fewer than 10,,,
Sebeka Public School District,SEBEKA SECONDARY,0820-01-002,2011,38,27,18,,fewer than 10,,,
Sebeka Public School District,SEBEKA SECONDARY,0820-01-002,2012,47,32,24,,fewer than 10,,,
Service Coop - REGION 10-SOUTHEAST SERVICE COOP,STUDIO ACADEMY CHARTER SCHOOL,4061-07-010,2006,31,14,10,,fewer than 10,,,
Service Coop - REGION 10-SOUTHEAST SERVICE COOP,STUDIO ACADEMY CHARTER SCHOOL,4061-07-010,2007,33,17,12,,fewer than 10,,,
Service Coop - REGION 10-SOUTHEAST SERVICE COOP,STUDIO ACADEMY CHARTER SCHOOL,4061-07-010,2008,18,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 10-SOUTHEAST SERVICE COOP,STUDIO ACADEMY CHARTER SCHOOL,4061-07-010,2009,26,14,13,,fewer than 10,,,
Service Coop - REGION 10-SOUTHEAST SERVICE COOP,STUDIO ACADEMY CHARTER SCHOOL,4061-07-010,2010,29,16,15,,fewer than 10,,,
Service Coop - REGION 10-SOUTHEAST SERVICE COOP,STUDIO ACADEMY CHARTER SCHOOL,4061-07-010,2011,28,17,12,,fewer than 10,,,
Service Coop - REGION 11-METRO EDUC. SERVICE UNIT,FOUR DIRECTIONS CHARTER SCHOOLS,4052-07-010,2006,15,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 11-METRO EDUC. SERVICE UNIT,FOUR DIRECTIONS CHARTER SCHOOLS,4052-07-010,2007,20,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 11-METRO EDUC. SERVICE UNIT,FOUR DIRECTIONS CHARTER SCHOOLS,4052-07-010,2008,25,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 11-METRO EDUC. SERVICE UNIT,FOUR DIRECTIONS CHARTER SCHOOLS,4052-07-010,2009,18,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 11-METRO EDUC. SERVICE UNIT,FOUR DIRECTIONS CHARTER SCHOOLS,4052-07-010,2010,16,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 11-METRO EDUC. SERVICE UNIT,FOUR DIRECTIONS CHARTER SCHOOLS,4052-07-010,2011,13,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 11-METRO EDUC. SERVICE UNIT,FOUR DIRECTIONS CHARTER SCHOOLS,4052-07-010,2012,16,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 11-METRO EDUC. SERVICE UNIT,HEART OF THE EARTH SEC.,4044-07-020,2006,16,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 11-METRO EDUC. SERVICE UNIT,HEART OF THE EARTH SEC.,4044-07-020,2007,17,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 11-METRO EDUC. SERVICE UNIT,HEART OF THE EARTH SEC.,4044-07-020,2008,29,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 11-METRO EDUC. SERVICE UNIT,MINNESOTA BUSINESS ACADEMY CHARTER,4065-07-010,2006,50,37,32,,10,20%,31%,
Service Coop - REGION 3 - NORTHEAST SERVICE COOP,LAKE SUPERIOR HIGH SCHOOL,4046-07-010,2006,13,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 3 - NORTHEAST SERVICE COOP,LAKE SUPERIOR HIGH SCHOOL,4046-07-010,2007,15,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 3 - NORTHEAST SERVICE COOP,LAKE SUPERIOR HIGH SCHOOL,4046-07-010,2008,18,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 3 - NORTHEAST SERVICE COOP,LAKE SUPERIOR HIGH SCHOOL,4046-07-010,2009,13,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 3 - NORTHEAST SERVICE COOP,LAKE SUPERIOR HIGH SCHOOL,4046-07-010,2010,24,fewer than 10,fewer than 10,,fewer than 10,,,
Service Coop - REGION 3 - NORTHEAST SERVICE COOP,LAKE SUPERIOR HIGH SCHOOL,4046-07-010,2011,26,fewer than 10,fewer than 10,,fewer than 10,,,
Shakopee Public School District,SHAKOPEE SENIOR HIGH,0720-01-083,2006,239,121,100,,31,13%,31%,
Shakopee Public School District,SHAKOPEE SENIOR HIGH,0720-01-083,2007,258,173,134,,32,12%,24%,
Shakopee Public School District,SHAKOPEE SENIOR HIGH,0720-01-083,2008,292,212,175,,51,17%,29%,
Shakopee Public School District,SHAKOPEE SENIOR HIGH,0720-01-083,2009,296,248,190,,53,18%,28%,
Shakopee Public School District,SHAKOPEE SENIOR HIGH,0720-01-083,2010,316,267,206,,58,18%,28%,
Shakopee Public School District,SHAKOPEE SENIOR HIGH,0720-01-083,2011,367,301,230,,63,17%,27%,
Shakopee Public School District,SHAKOPEE SENIOR HIGH,0720-01-083,2012,427,356,254,,57,13%,22%,
Sibley East School District,SIBLEY EAST-ARLINGTON SENIOR HIGH,2310-01-003,2006,95,74,67,,14,15%,21%,
Sibley East School District,SIBLEY EAST-ARLINGTON SENIOR HIGH,2310-01-003,2007,113,84,77,,21,19%,27%,
Sibley East School District,SIBLEY EAST-ARLINGTON SENIOR HIGH,2310-01-003,2008,76,57,52,,13,17%,25%,
Sibley East School District,SIBLEY EAST-ARLINGTON SENIOR HIGH,2310-01-003,2009,90,73,62,,11,12%,18%,
Sibley East School District,SIBLEY EAST-ARLINGTON SENIOR HIGH,2310-01-003,2010,86,64,53,,16,19%,30%,
Sibley East School District,SIBLEY EAST-ARLINGTON SENIOR HIGH,2310-01-003,2011,88,64,53,,11,13%,21%,
Sibley East School District,SIBLEY EAST-ARLINGTON SENIOR HIGH,2310-01-003,2012,81,65,53,,fewer than 10,,,
Sleepy Eye Public School District,SLEEPY EYE SEC.,0084-01-020,2006,50,35,31,,fewer than 10,,,
Sleepy Eye Public School District,SLEEPY EYE SEC.,0084-01-020,2007,65,56,50,,15,23%,30%,
Sleepy Eye Public School District,SLEEPY EYE SEC.,0084-01-020,2008,52,38,29,,12,23%,41%,
Sleepy Eye Public School District,SLEEPY EYE SEC.,0084-01-020,2009,54,41,34,,10,19%,29%,
Sleepy Eye Public School District,SLEEPY EYE SEC.,0084-01-020,2010,54,42,33,,14,26%,42%,
Sleepy Eye Public School District,SLEEPY EYE SEC.,0084-01-020,2011,57,51,37,,16,28%,43%,
Sleepy Eye Public School District,SLEEPY EYE SEC.,0084-01-020,2012,64,48,39,,11,17%,28%,
Sobriety High,SOBRIETY HIGH SOUTH,4109-07-012,2006,12,10,fewer than 10,,fewer than 10,,,
Sobriety High,SOBRIETY HIGH SOUTH,4109-07-012,2007,13,fewer than 10,fewer than 10,,fewer than 10,,,
Sobriety High,SOBRIETY HIGH SOUTH,4109-07-012,2008,18,10,fewer than 10,,fewer than 10,,,
Sobriety High,SOBRIETY HIGH SOUTH,4109-07-012,2009,13,fewer than 10,fewer than 10,,fewer than 10,,,
Sobriety High,SOBRIETY HIGH SOUTH,4109-07-012,2010,11,fewer than 10,fewer than 10,,fewer than 10,,,
Sobriety High,SOBRIETY HIGH SOUTH,4109-07-012,2011,11,fewer than 10,fewer than 10,,fewer than 10,,,
Sobriety High,SOBRIETY HIGH SOUTH,4109-07-012,2012,10,fewer than 10,fewer than 10,,fewer than 10,,,
South Koochiching School District,NORTHOME SECONDARY,0363-01-070,2006,16,13,11,,fewer than 10,,,
South Koochiching School District,NORTHOME SECONDARY,0363-01-070,2007,13,fewer than 10,fewer than 10,,fewer than 10,,,
South Koochiching School District,NORTHOME SECONDARY,0363-01-070,2008,11,fewer than 10,fewer than 10,,fewer than 10,,,
South Koochiching School District,NORTHOME SECONDARY,0363-01-070,2009,18,12,11,,fewer than 10,,,
South Koochiching School District,NORTHOME SECONDARY,0363-01-070,2010,12,fewer than 10,fewer than 10,,fewer than 10,,,
South Koochiching School District,NORTHOME SECONDARY,0363-01-070,2011,15,13,13,,fewer than 10,,,
South Koochiching School District,NORTHOME SECONDARY,0363-01-070,2012,19,14,10,,fewer than 10,,,
South St. Paul Public School Dist.,S ST. PAUL COMMUNITY LRNG. CNTR.,0006-03-303,2006,16,fewer than 10,fewer than 10,,fewer than 10,,,
South St. Paul Public School Dist.,S ST. PAUL COMMUNITY LRNG. CNTR.,0006-03-303,2007,16,fewer than 10,fewer than 10,,fewer than 10,,,
South St. Paul Public School Dist.,S ST. PAUL COMMUNITY LRNG. CNTR.,0006-03-303,2008,23,fewer than 10,fewer than 10,,fewer than 10,,,
South St. Paul Public School Dist.,S ST. PAUL COMMUNITY LRNG. CNTR.,0006-03-303,2009,25,11,11,,fewer than 10,,,
South St. Paul Public School Dist.,S ST. PAUL COMMUNITY LRNG. CNTR.,0006-03-303,2010,26,fewer than 10,fewer than 10,,fewer than 10,,,
South St. Paul Public School Dist.,S ST. PAUL COMMUNITY LRNG. CNTR.,0006-03-303,2011,26,10,10,,fewer than 10,,,
South St. Paul Public School Dist.,S ST. PAUL COMMUNITY LRNG. CNTR.,0006-03-303,2012,30,fewer than 10,fewer than 10,,fewer than 10,,,
South St. Paul Public School Dist.,SOUTH ST. PAUL SECONDARY,0006-03-120,2006,211,168,138,,44,21%,32%,
South St. Paul Public School Dist.,SOUTH ST. PAUL SECONDARY,0006-03-120,2007,205,171,138,,42,20%,30%,
South St. Paul Public School Dist.,SOUTH ST. PAUL SECONDARY,0006-03-120,2008,212,173,149,,45,21%,30%,
South St. Paul Public School Dist.,SOUTH ST. PAUL SECONDARY,0006-03-120,2009,182,155,116,,37,20%,32%,
South St. Paul Public School Dist.,SOUTH ST. PAUL SECONDARY,0006-03-120,2010,189,163,120,,35,19%,29%,
South St. Paul Public School Dist.,SOUTH ST. PAUL SECONDARY,0006-03-120,2011,183,159,113,,31,17%,27%,
South St. Paul Public School Dist.,SOUTH ST. PAUL SECONDARY,0006-03-120,2012,225,187,140,,21,9%,15%,
South Washington County School Dist,EAST RIDGE HIGH SCHOOL,0833-01-025,2011,332,290,163,,37,11%,23%,
South Washington County School Dist,EAST RIDGE HIGH SCHOOL,0833-01-025,2012,332,296,159,,33,10%,21%,
South Washington County School Dist,PARK SENIOR HIGH,0833-01-024,2006,484,372,255,,72,15%,28%,
South Washington County School Dist,PARK SENIOR HIGH,0833-01-024,2007,464,369,263,,95,20%,36%,
South Washington County School Dist,PARK SENIOR HIGH,0833-01-024,2008,513,413,298,,111,22%,37%,
South Washington County School Dist,PARK SENIOR HIGH,0833-01-024,2009,537,441,312,,106,20%,34%,
South Washington County School Dist,PARK SENIOR HIGH,0833-01-024,2010,490,403,286,,87,18%,30%,
South Washington County School Dist,PARK SENIOR HIGH,0833-01-024,2011,380,315,231,,57,15%,25%,
South Washington County School Dist,PARK SENIOR HIGH,0833-01-024,2012,416,333,237,,66,16%,28%,
South Washington County School Dist,SO WASH HIGH SCHOOL DIPLOMA PROGRAM,0833-01-052,2006,23,10,10,,fewer than 10,,,
South Washington County School Dist,SO WASH HIGH SCHOOL DIPLOMA PROGRAM,0833-01-052,2007,15,fewer than 10,fewer than 10,,fewer than 10,,,
South Washington County School Dist,SO WASH HIGH SCHOOL DIPLOMA PROGRAM,0833-01-052,2008,18,fewer than 10,fewer than 10,,fewer than 10,,,
South Washington County School Dist,SO WASH HIGH SCHOOL DIPLOMA PROGRAM,0833-01-052,2009,20,10,10,,fewer than 10,,,
South Washington County School Dist,SO WASH HIGH SCHOOL DIPLOMA PROGRAM,0833-01-052,2010,23,fewer than 10,fewer than 10,,fewer than 10,,,
South Washington County School Dist,SO WASH HIGH SCHOOL DIPLOMA PROGRAM,0833-01-052,2011,14,fewer than 10,fewer than 10,,fewer than 10,,,
South Washington County School Dist,SO WASH HIGH SCHOOL DIPLOMA PROGRAM,0833-01-052,2012,24,fewer than 10,fewer than 10,,fewer than 10,,,
South Washington County School Dist,SOUTH WASHINGTON ALTERNATIVE HIGH SCHOOL,0833-01-023,2006,25,fewer than 10,fewer than 10,,fewer than 10,,,
South Washington County School Dist,SOUTH WASHINGTON ALTERNATIVE HIGH SCHOOL,0833-01-023,2007,35,15,10,,fewer than 10,,,
